course_id,course_title,is_paid,price,num_subscribers,num_lectures,content_duration,published_timestamp,subject
173134,Build Your First Website in 1 Week with HTML5 and CSS3,TRUE,50,229,26,7.5,2014-04-16T15:08:48Z,Graphic Design
173462,Ultimate Blues Guitar Beginner Lessons,TRUE,200,17071,15,1.5,2014-03-01T08:48:55Z,Web Development
173548,AngularJS for the Real World - Learn by creating a WebApp,TRUE,145,789,95,14,2014-03-03T09:52:27Z,Business Finance
173776,Learn to Play Saxophone: Beginner to Pro in Under Four Hours,FALSE,0,120291,30,3,2014-04-08T16:21:30Z,Web Development
173888,Accounting 102: Guide to Business Accounting,TRUE,20,922,90,10.5,2014-03-08T11:31:03Z,Musical Instruments
174562,Accounting 101: Guide to Business Accounting,TRUE,115,1407,69,7,2015-09-07T17:54:39Z,Web Development
174790,How to Design Your Own Guitar,TRUE,50,1213,77,5,2014-03-03T19:36:23Z,Musical Instruments
174800,Trade for a Living,TRUE,50,1280,27,8.5,2014-05-09T09:48:53Z,Business Finance
175278,HTML5 Essentials for Beginners,TRUE,50,2031,29,14.5,2014-04-21T16:23:37Z,Business Finance
176136,An Introduction to Management of Portfolios (MoP),TRUE,50,181,32,5,2014-06-25T21:27:25Z,Musical Instruments
176432,Nuke X: Aprende composici? digital,TRUE,20,293,59,8,2014-03-22T22:56:09Z,Business Finance
177214,Adobe InDesign CS6,TRUE,20,10247,15,1.5,2014-03-14T21:46:36Z,Web Development
177472,Super Textos con Photoshop,TRUE,20,117,6,1.5,2014-03-06T09:12:15Z,Business Finance
177584,All You Need To Know About AngularJS - Training On AngularJS,TRUE,35,3,21,2.5,2014-04-01T21:08:52Z,Graphic Design
177614,How To Make Graphics For A Website,TRUE,50,5,35,5,2014-03-31T20:24:16Z,Graphic Design
177912,Capital Market Road Map,TRUE,20,0,8,2,2014-03-31T20:31:04Z,Graphic Design
178044,Fixed Income Securities,TRUE,50,1936,53,5,2014-03-07T19:09:28Z,Web Development
178602,Commercial Credit Analysis,TRUE,200,24857,11,1.5,2014-03-15T21:53:19Z,Graphic Design
178640,Interest Rate Swaps,TRUE,50,495,21,4,2014-03-11T16:15:21Z,Business Finance
178776,Introduction to Futures & Options,TRUE,50,5921,42,4.5,2014-03-11T19:43:30Z,Web Development
179446,Equity Products,TRUE,50,739,24,4.5,2014-03-11T16:29:50Z,Business Finance
179500,How to Make IT Work Successfully in Capital Markets,TRUE,50,545,42,7.5,2014-03-12T12:26:44Z,Business Finance
179820,Equity Swaps,TRUE,50,485,20,3.5,2014-03-11T18:08:54Z,Business Finance
179824,The Securities Trade Lifecycle,TRUE,50,694,27,4.5,2014-03-11T17:06:53Z,Business Finance
